ticker,quarter,cik
ABMD,2021Q1,815094
ABMD,2021Q2,815094
ABMD,2021Q3,815094
ABMD,2021Q4,815094
ABMD,2022Q1,815094
ABMD,2022Q2,815094
ABMD,2022Q3,815094
ABMD,2022Q4,815094
ABNB,2023Q3,1559720
ABNB,2023Q4,1559720
ABNB,2024Q1,1559720
ABNB,2024Q2,1559720
ABNB,2024Q3,1559720
ABNB,2024Q4,1559720
ABT,2020Q1,1800
ABT,2020Q2,1800
ABT,2020Q3,1800
ABT,2020Q4,1800
ABT,2021Q1,1800
ABT,2021Q2,1800
ABT,2021Q3,1800
ABT,2021Q4,1800
ABT,2022Q1,1800
ABT,2022Q2,1800
ABT,2022Q3,1800
ABT,2022Q4,1800
ABT,2023Q1,1800
ABT,2023Q2,1800
ABT,2023Q3,1800
ABT,2023Q4,1800
ABT,2024Q1,1800
ABT,2024Q2,1800
ABT,2024Q3,1800
ABT,2024Q4,1800
ACGL,2022Q4,947484
ACGL,2023Q1,947484
ACGL,2023Q2,947484
ACGL,2023Q3,947484
ACGL,2023Q4,947484
ACGL,2024Q1,947484
ACGL,2024Q2,947484
ACGL,2024Q3,947484
ACGL,2024Q4,947484
ACN,2020Q1,1467373
ACN,2020Q2,1467373
ACN,2020Q3,1467373
ACN,2020Q4,1467373
ACN,2021Q1,1467373
ACN,2021Q2,1467373
ACN,2021Q3,1467373
ACN,2021Q4,1467373
ACN,2022Q1,1467373
ACN,2022Q2,1467373
ACN,2022Q3,1467373
ACN,2022Q4,1467373
ACN,2023Q1,1467373
ACN,2023Q2,1467373
ACN,2023Q3,1467373
ACN,2023Q4,1467373
ACN,2024Q1,1467373
ACN,2024Q2,1467373
ACN,2024Q3,1467373
ACN,2024Q4,1467373
ADBE,2020Q1,796343
ADBE,2020Q2,796343
ADBE,2020Q3,796343
ADBE,2020Q4,796343
ADBE,2021Q1,796343
ADBE,2021Q2,796343
ADBE,2021Q3,796343
ADBE,2021Q4,796343
ADBE,2022Q1,796343
ADBE,2022Q2,796343
ADBE,2022Q3,796343
ADBE,2022Q4,796343
ADBE,2023Q1,796343
ADBE,2023Q2,796343
ADBE,2023Q3,796343
ADBE,2023Q4,796343
ADBE,2024Q1,796343
ADBE,2024Q2,796343
ADBE,2024Q3,796343
ADBE,2024Q4,796343
ADI,2020Q1,6281
ADI,2020Q2,6281
ADI,2020Q3,6281
ADI,2020Q4,6281
ADI,2021Q1,6281
ADI,2021Q2,6281
ADI,2021Q3,6281
ADI,2021Q4,6281
ADI,2022Q1,6281
ADI,2022Q2,6281
ADI,2022Q3,6281
ADI,2022Q4,6281
ADI,2023Q1,6281
ADI,2023Q2,6281
ADI,2023Q3,6281
ADI,2023Q4,6281
ADI,2024Q1,6281
ADI,2024Q2,6281
ADI,2024Q3,6281
ADI,2024Q4,6281
ADM,2020Q1,7084
ADM,2020Q2,7084
ADM,2020Q3,7084
ADM,2020Q4,7084
ADM,2021Q1,7084
ADM,2021Q2,7084
ADM,2021Q3,7084
ADM,2021Q4,7084
ADM,2022Q1,7084
ADM,2022Q2,7084
ADM,2022Q3,7084
ADM,2022Q4,7084
ADM,2023Q1,7084
ADM,2023Q2,7084
ADM,2023Q3,7084
ADM,2023Q4,7084
ADM,2024Q1,7084
ADM,2024Q2,7084
ADM,2024Q3,7084
ADM,2024Q4,7084
ADP,2020Q1,8670
ADP,2020Q2,8670
ADP,2020Q3,8670
ADP,2020Q4,8670
ADP,2021Q1,8670
ADP,2021Q2,8670
ADP,2021Q3,8670
ADP,2021Q4,8670
ADP,2022Q1,8670
ADP,2022Q2,8670
ADP,2022Q3,8670
ADP,2022Q4,8670
ADP,2023Q1,8670
ADP,2023Q2,8670
ADP,2023Q3,8670
ADP,2023Q4,8670
ADP,2024Q1,8670
ADP,2024Q2,8670
ADP,2024Q3,8670
ADP,2024Q4,8670
ADS,2020Q1,1101215
ADS,2020Q2,1101215
ADSK,2020Q1,769397
ADSK,2020Q2,769397
ADSK,2020Q3,769397
ADSK,2020Q4,769397
ADSK,2021Q1,769397
ADSK,2021Q2,769397
ADSK,2021Q3,769397
ADSK,2021Q4,769397
ADSK,2022Q1,769397
ADSK,2022Q2,769397
ADSK,2022Q3,769397
ADSK,2022Q4,769397
ADSK,2023Q1,769397
ADSK,2023Q2,769397
ADSK,2023Q3,769397
ADSK,2023Q4,769397
ADSK,2024Q1,769397
ADSK,2024Q2,769397
ADSK,2024Q3,769397
ADSK,2024Q4,769397
AEE,2020Q1,1002910
AEE,2020Q2,1002910
AEE,2020Q3,1002910
AEE,2020Q4,1002910
AEE,2021Q1,1002910
AEE,2021Q2,1002910
AEE,2021Q3,1002910
AEE,2021Q4,1002910
AEE,2022Q1,1002910
AEE,2022Q2,1002910
AEE,2022Q3,1002910
AEE,2022Q4,1002910
AEE,2023Q1,1002910
AEE,2023Q2,1002910
AEE,2023Q3,1002910
AEE,2023Q4,1002910
AEE,2024Q1,1002910
AEE,2024Q2,1002910
AEE,2024Q3,1002910
AEE,2024Q4,1002910
AEP,2020Q1,4904
AEP,2020Q2,4904
AEP,2020Q3,4904
AEP,2020Q4,4904
AEP,2021Q1,4904
AEP,2021Q2,4904
AEP,2021Q3,4904
AEP,2021Q4,4904
AEP,2022Q1,4904
AEP,2022Q2,4904
AEP,2022Q3,4904
AEP,2022Q4,4904
AEP,2023Q1,4904
AEP,2023Q2,4904
AEP,2023Q3,4904
AEP,2023Q4,4904
AEP,2024Q1,4904
AEP,2024Q2,4904
AEP,2024Q3,4904
AEP,2024Q4,4904
AES,2020Q1,874761
AES,2020Q2,874761
AES,2020Q3,874761
AES,2020Q4,874761
AES,2021Q1,874761
AES,2021Q2,874761
AES,2021Q3,874761
AES,2021Q4,874761
AES,2022Q1,874761
AES,2022Q2,874761
AES,2022Q3,874761
AES,2022Q4,874761
AES,2023Q1,874761
AES,2023Q2,874761
AES,2023Q3,874761
AES,2023Q4,874761
AES,2024Q1,874761
AES,2024Q2,874761
AES,2024Q3,874761
AES,2024Q4,874761
AFL,2020Q1,4977
AFL,2020Q2,4977
AFL,2020Q3,4977
AFL,2020Q4,4977
AFL,2021Q1,4977
AFL,2021Q2,4977
AFL,2021Q3,4977
AFL,2021Q4,4977
AFL,2022Q1,4977
AFL,2022Q2,4977
AFL,2022Q3,4977
AFL,2022Q4,4977
AFL,2023Q1,4977
AFL,2023Q2,4977
AFL,2023Q3,4977
AFL,2023Q4,4977
AFL,2024Q1,4977
AFL,2024Q2,4977
AFL,2024Q3,4977
AFL,2024Q4,4977
AGN,2020Q1,1578845
AGN,2020Q2,1578845
AIG,2020Q1,5272
AIG,2020Q2,5272
AIG,2020Q3,5272
AIG,2020Q4,5272
AIG,2021Q1,5272
AIG,2021Q2,5272
AIG,2021Q3,5272
AIG,2021Q4,5272
AIG,2022Q1,5272
AIG,2022Q2,5272
AIG,2022Q3,5272
AIG,2022Q4,5272
AIG,2023Q1,5272
AIG,2023Q2,5272
AIG,2023Q3,5272
AIG,2023Q4,5272
AIG,2024Q1,5272
AIG,2024Q2,5272
AIG,2024Q3,5272
AIG,2024Q4,5272
AIV,2020Q1,922864
AIV,2020Q2,922864
AIV,2020Q3,922864
AIV,2020Q4,922864
AIZ,2020Q1,1267238
AIZ,2020Q2,1267238
AIZ,2020Q3,1267238
AIZ,2020Q4,1267238
AIZ,2021Q1,1267238
AIZ,2021Q2,1267238
AIZ,2021Q3,1267238
AIZ,2021Q4,1267238
AIZ,2022Q1,1267238
AIZ,2022Q2,1267238
AIZ,2022Q3,1267238
AIZ,2022Q4,1267238
AIZ,2023Q1,1267238
AIZ,2023Q2,1267238
AIZ,2023Q3,1267238
AIZ,2023Q4,1267238
AIZ,2024Q1,1267238
AIZ,2024Q2,1267238
AIZ,2024Q3,1267238
AIZ,2024Q4,1267238
AJG,2020Q1,354190
AJG,2020Q2,354190
AJG,2020Q3,354190
AJG,2020Q4,354190
AJG,2021Q1,354190
AJG,2021Q2,354190
AJG,2021Q3,354190
AJG,2021Q4,354190
AJG,2022Q1,354190
AJG,2022Q2,354190
AJG,2022Q3,354190
AJG,2022Q4,354190
AJG,2023Q1,354190
AJG,2023Q2,354190
AJG,2023Q3,354190
AJG,2023Q4,354190
AJG,2024Q1,354190
AJG,2024Q2,354190
AJG,2024Q3,354190
AJG,2024Q4,354190
AKAM,2020Q1,1086222
AKAM,2020Q2,1086222
AKAM,2020Q3,1086222
AKAM,2020Q4,1086222
AKAM,2021Q1,1086222
AKAM,2021Q2,1086222
AKAM,2021Q3,1086222
AKAM,2021Q4,1086222
AKAM,2022Q1,1086222
AKAM,2022Q2,1086222
AKAM,2022Q3,1086222
AKAM,2022Q4,1086222
AKAM,2023Q1,1086222
AKAM,2023Q2,1086222
AKAM,2023Q3,1086222
AKAM,2023Q4,1086222
AKAM,2024Q1,1086222
AKAM,2024Q2,1086222
AKAM,2024Q3,1086222
AKAM,2024Q4,1086222
ALB,2020Q1,915913
ALB,2020Q2,915913
ALB,2020Q3,915913
ALB,2020Q4,915913
ALB,2021Q1,915913
ALB,2021Q2,915913
ALB,2021Q3,915913
ALB,2021Q4,915913
ALB,2022Q1,915913
ALB,2022Q2,915913
ALB,2022Q3,915913
ALB,2022Q4,915913
ALB,2023Q1,915913
ALB,2023Q2,915913
ALB,2023Q3,915913
ALB,2023Q4,915913
ALB,2024Q1,915913
ALB,2024Q2,915913
ALB,2024Q3,915913
ALB,2024Q4,915913
ALGN,2020Q1,1097149
ALGN,2020Q2,1097149
ALGN,2020Q3,1097149
ALGN,2020Q4,1097149
ALGN,2021Q1,1097149
ALGN,2021Q2,1097149
ALGN,2021Q3,1097149
ALGN,2021Q4,1097149
ALGN,2022Q1,1097149
ALGN,2022Q2,1097149
ALGN,2022Q3,1097149
ALGN,2022Q4,1097149
ALGN,2023Q1,1097149
ALGN,2023Q2,1097149
ALGN,2023Q3,1097149
ALGN,2023Q4,1097149
ALGN,2024Q1,1097149
ALGN,2024Q2,1097149
ALGN,2024Q3,1097149
ALGN,2024Q4,1097149
ALK,2020Q1,766421
ALK,2020Q2,766421
ALK,2020Q3,766421
ALK,2020Q4,766421
ALK,2021Q1,766421
ALK,2021Q2,766421
ALK,2021Q3,766421
ALK,2021Q4,766421
ALK,2022Q1,766421
ALK,2022Q2,766421
ALK,2022Q3,766421
ALK,2022Q4,766421
ALK,2023Q1,766421
ALK,2023Q2,766421
ALK,2023Q3,766421
ALK,2023Q4,766421
ALL,2020Q1,899051
ALL,2020Q2,899051
ALL,2020Q3,899051
ALL,2020Q4,899051
ALL,2021Q1,899051
ALL,2021Q2,899051
ALL,2021Q3,899051
ALL,2021Q4,899051
ALL,2022Q1,899051
ALL,2022Q2,899051
ALL,2022Q3,899051
ALL,2022Q4,899051
ALL,2023Q1,899051
ALL,2023Q2,899051
ALL,2023Q3,899051
ALL,2023Q4,899051
ALL,2024Q1,899051
ALL,2024Q2,899051
ALL,2024Q3,899051
ALL,2024Q4,899051
ALLE,2020Q1,1579241
ALLE,2020Q2,1579241
ALLE,2020Q3,1579241
ALLE,2020Q4,1579241
ALLE,2021Q1,1579241
ALLE,2021Q2,1579241
ALLE,2021Q3,1579241
ALLE,2021Q4,1579241
ALLE,2022Q1,1579241
ALLE,2022Q2,1579241
ALLE,2022Q3,1579241
ALLE,2022Q4,1579241
ALLE,2023Q1,1579241
ALLE,2023Q2,1579241
ALLE,2023Q3,1579241
ALLE,2023Q4,1579241
ALLE,2024Q1,1579241
ALLE,2024Q2,1579241
ALLE,2024Q3,1579241
ALLE,2024Q4,1579241
ALXN,2020Q1,899866
ALXN,2020Q2,899866
ALXN,2020Q3,899866
ALXN,2020Q4,899866
ALXN,2021Q1,899866
ALXN,2021Q2,899866
AMAT,2020Q1,6951
AMAT,2020Q2,6951
AMAT,2020Q3,6951
AMAT,2020Q4,6951
AMAT,2021Q1,6951
AMAT,2021Q2,6951
AMAT,2021Q3,6951
AMAT,2021Q4,6951
AMAT,2022Q1,6951
AMAT,2022Q2,6951
AMAT,2022Q3,6951
AMAT,2022Q4,6951
AMAT,2023Q1,6951
AMAT,2023Q2,6951
AMAT,2023Q3,6951
AMAT,2023Q4,6951
AMAT,2024Q1,6951
AMAT,2024Q2,6951
AMAT,2024Q3,6951
AMAT,2024Q4,6951
AMCR,2020Q1,1748790
AMCR,2020Q2,1748790
AMCR,2020Q3,1748790
AMCR,2020Q4,1748790
AMCR,2021Q1,1748790
AMCR,2021Q2,1748790
AMCR,2021Q3,1748790
AMCR,2021Q4,1748790
AMCR,2022Q1,1748790
AMCR,2022Q2,1748790
AMCR,2022Q3,1748790
AMCR,2022Q4,1748790
AMCR,2023Q1,1748790
AMCR,2023Q2,1748790
AMCR,2023Q3,1748790
AMCR,2023Q4,1748790
AMCR,2024Q1,1748790
AMCR,2024Q2,1748790
AMCR,2024Q3,1748790
AMCR,2024Q4,1748790
AMD,2020Q1,2488
AMD,2020Q2,2488
AMD,2020Q3,2488
AMD,2020Q4,2488
AMD,2021Q1,2488
AMD,2021Q2,2488
AMD,2021Q3,2488
AMD,2021Q4,2488
AMD,2022Q1,2488
AMD,2022Q2,2488
AMD,2022Q3,2488
AMD,2022Q4,2488
AMD,2023Q1,2488
AMD,2023Q2,2488
AMD,2023Q3,2488
AMD,2023Q4,2488
AMD,2024Q1,2488
AMD,2024Q2,2488
AMD,2024Q3,2488
AMD,2024Q4,2488
AME,2020Q1,1037868
AME,2020Q2,1037868
AME,2020Q3,1037868
AME,2020Q4,1037868
AME,2021Q1,1037868
AME,2021Q2,1037868
AME,2021Q3,1037868
AME,2021Q4,1037868
AME,2022Q1,1037868
AME,2022Q2,1037868
AME,2022Q3,1037868
AME,2022Q4,1037868
AME,2023Q1,1037868
AME,2023Q2,1037868
AME,2023Q3,1037868
AME,2023Q4,1037868
AME,2024Q1,1037868
AME,2024Q2,1037868
AME,2024Q3,1037868
AME,2024Q4,1037868
AMGN,2020Q1,318154
AMGN,2020Q2,318154
AMGN,2020Q3,318154
AMGN,2020Q4,318154
AMGN,2021Q1,318154
AMGN,2021Q2,318154
AMGN,2021Q3,318154
AMGN,2021Q4,318154
AMGN,2022Q1,318154
AMGN,2022Q2,318154
AMGN,2022Q3,318154
AMGN,2022Q4,318154
AMGN,2023Q1,318154
AMGN,2023Q2,318154
AMGN,2023Q3,318154
AMGN,2023Q4,318154
AMGN,2024Q1,318154
AMGN,2024Q2,318154
AMGN,2024Q3,318154
AMGN,2024Q4,318154
AMP,2020Q1,820027
AMP,2020Q2,820027
AMP,2020Q3,820027
AMP,2020Q4,820027
AMP,2021Q1,820027
AMP,2021Q2,820027
AMP,2021Q3,820027
AMP,2021Q4,820027
AMP,2022Q1,820027
AMP,2022Q2,820027
AMP,2022Q3,820027
AMP,2022Q4,820027
AMP,2023Q1,820027
AMP,2023Q2,820027
AMP,2023Q3,820027
AMP,2023Q4,820027
AMP,2024Q1,820027
AMP,2024Q2,820027
AMP,2024Q3,820027
AMP,2024Q4,820027
AMT,2020Q1,1053507
AMT,2020Q2,1053507
AMT,2020Q3,1053507
AMT,2020Q4,1053507
AMT,2021Q1,1053507
AMT,2021Q2,1053507
AMT,2021Q3,1053507
AMT,2021Q4,1053507
AMT,2022Q1,1053507
AMT,2022Q2,1053507
