filename,file_size,num_words,pct_positive,pct_negative,pct_uncertainty,pct_litigious,pct_modal_weak,pct_modal_moderate,pct_modal_strong,pct_constraining,num_alphanum,num_digits,num_numbers,avg_syllables,avg_word_length,vocabulary,CIK,H4N-INF_pct,FIN-NEG_pct,TF-IDF,Term_Weight
20210430_10-Q_edgar_data_833444_0000833444-21-000020_1.txt,15992042,1475125,0.6236081687992543,0.41433776798576394,0.08792475213964919,0.49236505380899925,0.009965257181594779,0.023659011948139987,0.03504787729853402,0.11476993475129225,11760007,1544590,276305,0.9642504872468435,4.933742564189475,4237,0000833444,1.848521311753241,0.41433776798576394,5.55354311719807e-07,0.0013078594041001455
20210430_10-Q_edgar_data_84839_0001171200-21-000229_1.txt,3585069,358350,1.102832426398772,0.33849588391237617,0.17803823077996372,0.6482489186549463,0.012836612250592995,0.02595228128924236,0.017859634435607646,0.09348402399888378,2515434,204085,51248,0.9064824891865495,5.17935816938747,2162,0000084839,2.0985070461838986,0.33849588391237617,2.989402726848249e-07,0.0007040043421727626
20210430_10-Q_edgar_data_851968_0000851968-21-000042_1.txt,7695716,750686,0.750113895823287,0.3078517515978718,0.07872799013169288,0.42201399786328775,0.003463498719837588,0.012788302965554174,0.012788302965554174,0.055282768028176894,5712642,681625,123289,0.9619561307923686,5.0615916641578504,2464,0000851968,1.8168715015332644,0.3078517515978718,4.104453892146137e-07,0.0009665988916004153
20210430_10-Q_edgar_data_858470_0000858470-21-000022_1.txt,5376681,523551,0.8190224066041321,0.24142824672285984,0.10543385458150209,0.40912919658256786,0.011078194865447684,0.028650503962364696,0.021010369572400777,0.09168161267956704,3995025,457025,85291,0.9814020028612304,5.037247565184671,2477,0000858470,1.7788142893433496,0.24142824672285984,1.8187068614269167e-07,0.0004283054658660389
20210430_10-Q_edgar_data_860730_0001193125-21-145306_1.txt,7923317,954874,0.467915138541839,0.4767121107078002,0.04105253677448543,0.2617099219373446,0.005341018815047849,0.016965589177210815,0.013404909967178915,0.026914545793476415,5579245,340132,76270,1.0172347346351456,4.798415288299817,2623,0000860730,1.6273351248436967,0.4767121107078002,1.530103267695094e-07,0.00036033931954219467
20210430_10-Q_edgar_data_8670_0000008670-21-000014_1.txt,11686796,1053577,0.5794545628843455,0.19153797017208993,0.05191836951641882,0.24582920849638895,0.004271163854184364,0.009776219488466435,0.00949147523152081,0.06292848078498298,8356278,1145542,226497,0.9440325671498144,4.861261208245814,2580,0000008670,1.42989074362861,0.19153797017208993,8.105510602824846e-08,0.00019088477469652513
20210430_10-Q_edgar_data_875320_0000875320-21-000015_1.txt,6980528,664893,0.7921575351221927,0.21161299637686062,0.07354566825038014,0.3796099522780357,0.008572807955565783,0.026921624983267986,0.019100817725558848,0.062115257642959096,5167797,617702,111436,0.968152770445771,5.053011537194706,2570,0000875320,1.7505072244707043,0.21161299637686062,1.0456440982653354e-07,0.0002462491851414865
20210430_10-Q_edgar_data_879101_0001437749-21-010421_1.txt,6091675,670141,0.7835664434798049,0.491687570227758,0.5298884861544063,0.3099347749205018,0.009997895965177478,0.018652790979808726,0.020443458913870366,0.06386715631486509,4294781,325808,82931,0.9606993155171822,4.882938068257277,2489,0000879101,2.050911673811929,0.491687570227758,1.270577997753951e-07,0.00029922111847105546
20210430_10-Q_edgar_data_896159_0000896159-21-000006_1.txt,17744231,1754740,0.5431004023388081,0.2949724745546349,0.05106169574979769,0.2530289387601582,0.0030203904852000867,0.012480481438845642,0.00906117145560026,0.046331650272974916,13431662,1614482,319100,1.0128115846222232,5.065223907815403,2939,0000896159,1.3251535840067474,0.2949724745546349,2.851087167074493e-07,0.0006714310278460432
20210430_10-Q_edgar_data_899866_0000899866-21-000039_1.txt,12035421,1082207,0.8447552085691555,0.3928083998717436,0.2029186652830743,0.3588038147969843,0.03372737378338894,0.027905936664612222,0.03418939260233948,0.10155173640532726,8651101,1077187,195875,0.9187087128432916,4.954109518788919,4549,0000899866,2.037595395335643,0.3928083998717436,8.381814801543961e-07,0.001973917385763603
20210430_10-Q_edgar_data_906107_0001564590-21-022532_1.txt,17568120,1999405,0.4869948809770907,0.1480440431028231,1.366806624970929,0.1602976885623473,0.0037511159569972065,0.010103005644179144,0.007452217034567783,0.038361412520224764,13130141,1138124,253629,1.2020276032119555,5.162768423606023,2674,0000906107,1.1446905454372676,0.1480440431028231,5.3392275900834764e-08,0.00012573880974646586
20210430_10-Q_edgar_data_91142_0000091142-21-000085_1.txt,71164228,4116191,0.12499419973465761,0.07353886153485104,0.01477093750022776,0.12868693410971455,0.0015305412212407055,0.006049281969665645,0.010373668277298114,0.032481485917441634,40513637,10034550,2151692,0.1964993849896664,3.151213099683664,4994,0000091142,0.4242757442499631,0.07353886153485104,1.5497944235094212e-07,0.0003649765867364687
20210430_10-Q_edgar_data_914208_0000914208-21-000378_1.txt,11651999,1186112,0.5897419467976043,0.32585455673663194,0.08371890681487078,0.5606553175416824,0.00944261587438623,0.025039793881184914,0.04721307937193115,0.15023876328710947,8690606,1012071,201338,1.0718574637133762,5.019066496249932,4339,0000914208,1.5484203852587277,0.32585455673663194,6.687220083682934e-07,0.001574840329707331
20210430_10-Q_edgar_data_943819_0000943819-21-000009_1.txt,12657063,1567169,0.3009247885837456,0.11364441231290308,0.04549605052167316,0.1729232775788699,0.004275224943831839,0.010209492403180512,0.007274263337266115,0.030947523847140924,9112662,680495,251538,1.1822190204119658,4.918424879512037,2410,0000943819,0.7163235107381527,0.11364441231290308,5.4919619042311604e-08,0.00012933570284464382
20210503_10-Q_edgar_data_1001250_0001001250-21-000062_1.txt,15064076,1492228,0.6763711711615116,0.2863503432451341,0.08410242938746626,0.1973559000367236,0.0031496527340326005,0.01360381925550251,0.015212152566497881,0.05253888815918212,11322111,1320290,250718,0.9943440278563329,5.091713866781752,2954,0001001250,1.6584596991880598,0.2863503432451341,1.6791213379271985e-07,0.0003954330750818553
20210503_10-Q_edgar_data_1051470_0001051470-21-000134_1.txt,6288996,592905,0.7270979330584157,0.2266804968755534,0.06813907792985387,0.39702819170018805,0.004553849267589243,0.02091397441411356,0.015010836474646023,0.11840008095732031,4676880,576472,100114,0.9816918393334514,4.97904554692573,2364,0001051470,1.631627326468827,0.2266804968755534,9.55040259660951e-08,0.00022491198115015396
